Aaron Hunt,DUMMY TEAM,854
Abdul Rahman Baba,DUMMY TEAM,1442
Adam Hlousek,DUMMY TEAM,991
Adam Matuschyk,DUMMY TEAM,713
Adam Szalai,DUMMY TEAM,1135
Admir Mehmedi,DUMMY TEAM,1632
Adrian Ramos,DUMMY TEAM,1332
Alban Meha,DUMMY TEAM,925
Albin Ekdal,DUMMY TEAM,962
Alejandro Galvez,DUMMY TEAM,1114
Aleksandar Ignjovski,DUMMY TEAM,722
Alessandro Schoepf,DUMMY TEAM,1556
Alex Manninger,DUMMY TEAM,653
Alexander Baumjohann,DUMMY TEAM,512
Alexander Esswein,DUMMY TEAM,721
Alexander Hack,DUMMY TEAM,374
Alexander Madlung,DUMMY TEAM,804
Alexander Meier,DUMMY TEAM,1703
Alexander Milosevic,DUMMY TEAM,701
Alexander Schwolow,DUMMY TEAM,408
Alexandru Maxim,DUMMY TEAM,1073
Alfred Finnbogason,DUMMY TEAM,676
Alfredo Morales,DUMMY TEAM,1149
Allan Saint-Maximin,DUMMY TEAM,638
Almog Cohen,DUMMY TEAM,560
Alvaro Dominguez,DUMMY TEAM,773
Anderson,DUMMY TEAM,528
Andre Hahn,DUMMY TEAM,954
Andre Hoffmann,DUMMY TEAM,439
Andre Ramalho Silva,DUMMY TEAM,1111
Andre Schuerrle,DUMMY TEAM,959
Andreas Beck,DUMMY TEAM,819
Andreas Christensen,DUMMY TEAM,609
Andrej Kramaric,DUMMY TEAM,587
Andres Guardado,DUMMY TEAM,1417
Anis Ben-Hatira,DUMMY TEAM,586
Anthony Modeste,DUMMY TEAM,1089
Anthony Ujah,DUMMY TEAM,1035
Antonio Ruediger,DUMMY TEAM,1043
Arjen Robben,DUMMY TEAM,803
Arkadiusz Milik,DUMMY TEAM,948
Aron Johannsson,DUMMY TEAM,589
Artem Kravets,DUMMY TEAM,146
Arthur Boka,DUMMY TEAM,673
Artjoms Rudnevs,DUMMY TEAM,965
Artur Sobiech,DUMMY TEAM,507
Arturo Vidal,DUMMY TEAM,1622
Ashton-Phillip Goetz,DUMMY TEAM,474
Assani Lukimya-Mulongoti,DUMMY TEAM,793
Atsuto Uchida,DUMMY TEAM,1194
Aytac Sulu,DUMMY TEAM,1211
Baard Finne,DUMMY TEAM,1057
Bas Dost,DUMMY TEAM,764
Bastian Oczipka,DUMMY TEAM,597
Bastian Schweinsteiger,DUMMY TEAM,961
Benedikt Hoewedes,DUMMY TEAM,902
Benedikt Saller,DUMMY TEAM,696
Benjamin Henrichs,DUMMY TEAM,348
Benjamin Huebner,DUMMY TEAM,704
Benjamin Kessel,DUMMY TEAM,673
Berkay Tolga Dabanli,DUMMY TEAM,337
Bernd Leno,DUMMY TEAM,661
Branimir Hrgota,DUMMY TEAM,696
Bruno Henrique,DUMMY TEAM,210
Cacau,DUMMY TEAM,151
Caiuby,DUMMY TEAM,785
Carlos Gruezo,DUMMY TEAM,902
Carlos Zambrano,DUMMY TEAM,612
Cedric Makiadi,DUMMY TEAM,1241
Ceyhun Gulselam,DUMMY TEAM,781
Charles Aranguiz,DUMMY TEAM,760
Charlison Benschop,DUMMY TEAM,1659
Chinedu Obasi,DUMMY TEAM,724
Christian Clemens,DUMMY TEAM,887
Christian Fuchs,DUMMY TEAM,1608
Christian Gentner,DUMMY TEAM,544
Christian Guenter,DUMMY TEAM,1755
Christian Mathenia,DUMMY TEAM,991
Christian Pander,DUMMY TEAM,294
Christian Pulisic,DUMMY TEAM,540
Christian Schulz,DUMMY TEAM,594
Christian Strohdiek,DUMMY TEAM,683
Christian Traesch,DUMMY TEAM,918
Christoph Janker,DUMMY TEAM,335
Christoph Kramer,DUMMY TEAM,1313
Christoph Moritz,DUMMY TEAM,1310
Christopher Avevor,DUMMY TEAM,859
Ciro Immobile,DUMMY TEAM,2461
Claudio Pizarro,DUMMY TEAM,1005
Cleber,DUMMY TEAM,654
Clemens Fritz,DUMMY TEAM,1679
Constant Djakpa,DUMMY TEAM,799
Damir Vrancic,DUMMY TEAM,471
Dani Schahin,DUMMY TEAM,948
Daniel Baier,DUMMY TEAM,539
Daniel Brosinski,DUMMY TEAM,1192
Daniel Brueckner,DUMMY TEAM,591
Daniel Caligiuri,DUMMY TEAM,924
Daniel Davari,DUMMY TEAM,593
Daniel Didavi,DUMMY TEAM,1296
Daniel Ginczek,DUMMY TEAM,528
Daniel Halfar,DUMMY TEAM,933
Daniel Opare,DUMMY TEAM,1007
Daniel Schwaab,DUMMY TEAM,596
Daniel van Buyten,DUMMY TEAM,156
Danilo Soares,DUMMY TEAM,799
Danny Latza,DUMMY TEAM,1049
Danny da Costa,DUMMY TEAM,612
Dante,DUMMY TEAM,981
Dario Kresic,DUMMY TEAM,471
Dario Lezcano,DUMMY TEAM,1286
David Abraham,DUMMY TEAM,982
David Alaba,DUMMY TEAM,1327
David Kinsombi,DUMMY TEAM,302
Davie Selke,DUMMY TEAM,1334
Deniz Dogan,DUMMY TEAM,672
Dennis Aogo,DUMMY TEAM,1295
Dennis Diekmeier,DUMMY TEAM,517
Dennis Kruppke,DUMMY TEAM,341
Deyverson,DUMMY TEAM,1187
Didier Konan Ya,DUMMY TEAM,1484
Diego,DUMMY TEAM,1371
Diego Benaglio,DUMMY TEAM,483
Diego Contento,DUMMY TEAM,580
Dominic Maroh,DUMMY TEAM,808
Dominik Kohr,DUMMY TEAM,1075
Dominik Kumbela,DUMMY TEAM,835
Dominik Stroh-Engel,DUMMY TEAM,752
Dominique Heintz,DUMMY TEAM,790
Dong-Won Ji,DUMMY TEAM,568
Douglas Costa,DUMMY TEAM,1138
Dusan Svento,DUMMY TEAM,538
Edgar Prib,DUMMY TEAM,888
Eduardo Vargas,DUMMY TEAM,1080
Elias Kachunga,DUMMY TEAM,747
Eljero Elia,DUMMY TEAM,1358
Elkin Soto,DUMMY TEAM,1169
Emanuel Pogatetz,DUMMY TEAM,990
Emiliano Insua,DUMMY TEAM,547
Emir Spahic,DUMMY TEAM,630
Emre Can,DUMMY TEAM,1163
Eren Derdiyok,DUMMY TEAM,579
Eric Durm,DUMMY TEAM,1100
Eric Maxim Choupo-Moting,DUMMY TEAM,2062
Ermin Bicakcic,DUMMY TEAM,605
Eugen Polanski,DUMMY TEAM,910
Fabian Frei,DUMMY TEAM,2136
Fabian Giefer,DUMMY TEAM,512
Fabian Holland,DUMMY TEAM,1015
Fabian Johnson,DUMMY TEAM,1051
Fabian Lustenberger,DUMMY TEAM,1286
Fabian Schaer,DUMMY TEAM,1736
Federico Barba,DUMMY TEAM,876
Felipe,DUMMY TEAM,364
Felipe Santana,DUMMY TEAM,826
Felix Klaus,DUMMY TEAM,979
Felix Kroos,DUMMY TEAM,1128
Felix Passlack,DUMMY TEAM,360
Felix Platte,DUMMY TEAM,369
Felix Wiedwald,DUMMY TEAM,1037
Filip Daems,DUMMY TEAM,584
Filip Djuricic,DUMMY TEAM,1351
Filip Kostic,DUMMY TEAM,1118
Filip Mladenovic,DUMMY TEAM,488
Fin Bartels,DUMMY TEAM,1753
Florian Grillitsch,DUMMY TEAM,1133
Florian Hartherz,DUMMY TEAM,398
Florian Jungwirth,DUMMY TEAM,956
Florian Klein,DUMMY TEAM,902
Florian Niederlechner,DUMMY TEAM,1177
Franck Ribery,DUMMY TEAM,618
Franco Di Santo,DUMMY TEAM,2197
Frantisek Rajtoral,DUMMY TEAM,292
Frederik Soerensen,DUMMY TEAM,722
Fynn Arkenberg,DUMMY TEAM,58
Gaetan Bussmann,DUMMY TEAM,773
Gelson Fernandes,DUMMY TEAM,663
Genki Haraguchi,DUMMY TEAM,1014
Georg Niedermaier,DUMMY TEAM,803
Gian-Luca Waldschmidt,DUMMY TEAM,419
Gianluca Gaudino,DUMMY TEAM,641
Gideon Jung,DUMMY TEAM,786
Giulio Donati,DUMMY TEAM,803
Gojko Kacar,DUMMY TEAM,356
Gonzalo Castro,DUMMY TEAM,1126
Gonzalo Jara,DUMMY TEAM,1107
Gotoku Sakai,DUMMY TEAM,797
Granit Xhaka,DUMMY TEAM,1571
Gyorgy Garics,DUMMY TEAM,558
Haavard Nielsen,DUMMY TEAM,563
Haavard Nordtveit,DUMMY TEAM,688
Hajime Hosogai,DUMMY TEAM,1021
Hakan Calhanoglu,DUMMY TEAM,1674
Halil Altintop,DUMMY TEAM,746
Hanno Balitsch,DUMMY TEAM,425
Hany Mukhtar,DUMMY TEAM,740
Haris Seferovic,DUMMY TEAM,682
Heiko Westermann,DUMMY TEAM,829
Henrik Mkhitaryan,DUMMY TEAM,2534
Heung-Min Son,DUMMY TEAM,994
Hiroki Sakai,DUMMY TEAM,718
Hiroshi Kiyotake,DUMMY TEAM,836
Holger Badstuber,DUMMY TEAM,963
Hotaru Yamaguchi,DUMMY TEAM,69
Hugo Almeida,DUMMY TEAM,528
Ibrahima Traore,DUMMY TEAM,931
Idir Ouali,DUMMY TEAM,804
Ilkay Guendogan,DUMMY TEAM,1910
Immanuel Hoehn,DUMMY TEAM,823
Ivan Perisic,DUMMY TEAM,1200
Iver Fossum,DUMMY TEAM,995
Ivica Olic,DUMMY TEAM,1006
Ivo Ilicevic,DUMMY TEAM,591
Izet Hajrovic,DUMMY TEAM,1412
Ja-Cheol Koo,DUMMY TEAM,1734
Jacques Zoua Daogari,DUMMY TEAM,797
Jairo,DUMMY TEAM,1162
Jakub Blaszczykowski,DUMMY TEAM,1041
Jan Hochscheidt,DUMMY TEAM,635
Jan Kirchhoff,DUMMY TEAM,1177
Jan Moravek,DUMMY TEAM,286
Jan Polak,DUMMY TEAM,974
Jan Rosenthal,DUMMY TEAM,506
Jan Schlaudraff,DUMMY TEAM,592
Jan-Ingwer Callsen-Bracker,DUMMY TEAM,365
Janek Sternberg,DUMMY TEAM,1037
Jannik Vestergaard,DUMMY TEAM,965
Jaroslav Drobny,DUMMY TEAM,611
Javier Hernandez,DUMMY TEAM,651
Javier Martinez,DUMMY TEAM,926
Javier Pinola,DUMMY TEAM,865
Jefferson Farfan,DUMMY TEAM,744
Jeffrey Gouweleeuw,DUMMY TEAM,297
Jens Grahl,DUMMY TEAM,614
Jens Hegeler,DUMMY TEAM,812
Jens Wemmer,DUMMY TEAM,554
Jeong-Ho Hong,DUMMY TEAM,359
Jeremy Toljan,DUMMY TEAM,734
Jerome Boateng,DUMMY TEAM,1200
Jerome Gondorf,DUMMY TEAM,1146
Jhon Cordoba,DUMMY TEAM,1440
Jiloan Hamad,DUMMY TEAM,923
Jimmy Briand,DUMMY TEAM,893
Jin-Su Kim,DUMMY TEAM,608
Joao Pereira,DUMMY TEAM,1076
Joel Gerezgiher,DUMMY TEAM,416
Joel Matip,DUMMY TEAM,1015
Johan Djourou,DUMMY TEAM,672
Johannes Flum,DUMMY TEAM,587
Johannes Geis,DUMMY TEAM,2052
Johannes van den Bergh,DUMMY TEAM,919
John Anthony Brooks,DUMMY TEAM,1044
Johnny Heitinga,DUMMY TEAM,825
Jonas Hector,DUMMY TEAM,1628
Jonas Hofmann,DUMMY TEAM,1112
Jonathan Glao Tah,DUMMY TEAM,1210
Jonathan Schmid,DUMMY TEAM,1196
Joo-Ho Park,DUMMY TEAM,1314
Jose Campana,DUMMY TEAM,972
Joselu,DUMMY TEAM,740
Joshua Guilavogui,DUMMY TEAM,1301
Joshua Kimmich,DUMMY TEAM,1296
Josip Drmic,DUMMY TEAM,1061
Juan Arango,DUMMY TEAM,977
Juan Bernat,DUMMY TEAM,1106
Julian Baumgartlinger,DUMMY TEAM,1285
Julian Brandt,DUMMY TEAM,1251
Julian Draxler,DUMMY TEAM,803
Julian Green,DUMMY TEAM,734
Julian Koch,DUMMY TEAM,974
Julian Korb,DUMMY TEAM,855
Julian Schieber,DUMMY TEAM,897
Julian Schuster,DUMMY TEAM,1236
Julian Weigl,DUMMY TEAM,1199
Junior Caicara,DUMMY TEAM,528
Junior Diaz,DUMMY TEAM,1570
Junior Malanda-Adje,DUMMY TEAM,361
Kaan Ayhan,DUMMY TEAM,1190
Kai Herdling,DUMMY TEAM,724
Karim Bellarabi,DUMMY TEAM,1410
Karim Guede,DUMMY TEAM,1249
Karim Onisiwo,DUMMY TEAM,268
Kazuki Nagasawa,DUMMY TEAM,596
Ken Reichel,DUMMY TEAM,619
Kenan Karaman,DUMMY TEAM,750
Kevin Grosskreutz,DUMMY TEAM,1288
Kevin Kampl,DUMMY TEAM,1847
Kevin Kratz,DUMMY TEAM,479
Kevin Kuranyi,DUMMY TEAM,766
Kevin Trapp,DUMMY TEAM,804
Kevin Vogt,DUMMY TEAM,879
Kevin Volland,DUMMY TEAM,1350
Kevin Wimmer,DUMMY TEAM,1164
Kevin de Bruyne,DUMMY TEAM,1417
Kevin-Prince Boateng,DUMMY TEAM,1262
Kingsley Coman,DUMMY TEAM,977
Klaas Jan Huntelaar,DUMMY TEAM,992
Koen Casteels,DUMMY TEAM,712
Konstantin Engel,DUMMY TEAM,521
Konstantin Rausch,DUMMY TEAM,654
Konstantinos Stafylidis,DUMMY TEAM,693
Kyriakos Papadopoulos,DUMMY TEAM,934
Lars Bender,DUMMY TEAM,816
Lars Stindl,DUMMY TEAM,1414
Lasse Sobiech,DUMMY TEAM,412
Laszlo Kleinheisler,DUMMY TEAM,267
Leon Andreasen,DUMMY TEAM,823
Leon Balogun,DUMMY TEAM,1015
Leon Goretzka,DUMMY TEAM,1465
Leon Guwara,DUMMY TEAM,120
Leonardo Bittencourt,DUMMY TEAM,967
Leroy Sane,DUMMY TEAM,2011
Levan Kobiashvili,DUMMY TEAM,69
Levent Aycicek,DUMMY TEAM,1454
Levin Mete Oztunali,DUMMY TEAM,1483
Lewis Holtby,DUMMY TEAM,1158
Loris Karius,DUMMY TEAM,1659
Luc Castaignos,DUMMY TEAM,368
Luca Caldirola,DUMMY TEAM,1243
Luca-Milan Zander,DUMMY TEAM,356
Lucas Hradecky,DUMMY TEAM,1140
Lucas Piazon,DUMMY TEAM,1424
Ludovic Obraniak,DUMMY TEAM,520
